external_gene_name,siRNAaRNF4_untreated_1,siRNAaRNF4_7d_of_osteogenesis_1,scrambled_untreated_1,scrambled_7d_of_osteogenesis_1,siRNAaRNF4_untreated_2,siRNAaRNF4_7d_of_osteogenesis_2,scrambled_untreated_2,scrambled_7d_of_osteogenesis_2,siRNAaRNF4_untreated_4,siRNAaRNF4_7d_of_osteogenesis_4,scrambled_untreated_4,scrambled_7d_of_osteogenesis_4
PPEF1,2.086752015,6.722923835,0.0,1.781713283,0.973795459,3.150246121,0.0,1.035399475,2.208574088,2.842657463,1.07832574,0.0
LAT2,16.69401612,11.52501229,10.92000002,17.81713283,30.18765923,32.55254325,13.2904968,15.53099213,49.69291698,25.58391717,16.1748861,15.75770283
HUWE1,11681.63778,11461.62472,9774.310018,12308.07536,10479.01293,10100.73915,9925.153149,10743.30495,8889.510704,8395.31504,11455.05434,11038.27083
ZW10,622.8954765,737.6007864,570.5700011,836.5143864,573.5655253,745.5582487,750.9130694,713.3902384,705.6394211,740.0384928,714.9299657,794.7791363
ALG9,169.0269132,218.0148158,186.5500004,399.9946321,160.6762507,153.3119779,131.9556468,110.7877438,81.71724126,75.80419901,80.8744305,156.5921718
NOX4,146.0726411,122.9334644,42.77000008,24.94398596,104.1961141,145.9614036,18.03710281,61.08856904,69.57008377,54.01049179,39.89805238,229.4715474
ACOX3,160.6799052,166.1522605,441.3500008,464.1363102,189.8901145,207.916244,750.9130694,1100.629642,230.7959922,220.7797296,708.4600112,701.2177757
MTMR2,3412.882921,3233.726364,2074.800004,2750.965309,3686.789607,3317.209166,2706.514742,2495.312735,4975.91742,4357.793891,3433.389156,2676.839767
PPP1R15A,2565.661603,1549.153735,1856.400003,3584.807126,2444.226602,1500.567236,2070.469538,2271.666449,2288.082755,1258.349704,1980.884384,1417.208398
HSD17B14,84.51345661,56.66464375,85.54000016,51.66968521,141.2003415,99.75779385,79.74298082,94.22135225,392.0219006,162.0314754,174.6887699,131.9707612
TRIP6,3451.487833,3058.930345,3362.450006,3008.422879,4020.80145,3588.130332,4139.040433,5297.103715,5377.877904,4712.178521,3781.68837,2920.099305
ACHE,3.130128023,1.920835381,0.0,2.672569925,16.5545228,16.80131265,7.594569602,9.318595277,46.38005585,12.31818234,9.70493166,3.939425706
FTL,346371.62,209535.288,84046.69016,30366.63034,416051.1884,214898.2395,55536.23954,54797.48183,554927.4297,301812.5232,81596.90875,42631.48014
SRRT,1873.90331,1702.820566,1528.800003,1554.544839,1745.041462,1699.032741,1902.439685,2619.560672,2030.783874,1957.643439,1558.180694,1499.936338
BAX,2388.287681,2024.560492,2074.800004,2146.073649,2241.677146,2175.769988,2530.89032,3159.003799,1880.600836,2117.77981,2377.708257,2148.956723
NLK,447.6083073,569.5276906,328.5100006,342.0889504,433.3389792,520.8406921,340.8063109,335.46943,511.2849014,528.7342881,336.4376309,375.2302985
PIGS,1477.420427,1536.668305,1261.260002,1435.17005,1793.731235,1895.398083,1488.535642,1974.506799,2812.619101,2800.965153,1410.450068,1612.20997
ADAMTS2,32982.15898,54036.94095,30758.91006,41584.29717,33116.83597,51037.13741,29294.1536,36913.02669,27005.33966,38519.90373,34050.29189,39753.72966
ATXN7L3,3428.533561,3473.830787,2219.490004,2538.050572,3127.831014,3184.898829,2285.016129,3180.747188,2502.314442,2639.88123,2001.372574,2067.213639
PGS1,846.1779422,910.4759707,681.5900013,704.6676035,760.5342534,873.6682577,586.6805018,618.1334867,788.4609494,795.9440896,609.2540431,592.8835688
PSMC5,1671.488364,1656.720516,2076.620004,2785.708718,1854.106554,1738.935859,3420.404285,4509.164715,2104.771106,1894.157423,3176.74763,2841.310791
UIMC1,638.5461166,653.0840296,554.190001,742.974439,586.2248663,616.3981578,620.856065,642.9830741,560.9778184,659.4965314,499.2648176,553.4893117
CETP,3.130128023,0.960417691,1.820000003,0.890856642,0.973795459,1.05008204,1.898642401,0.0,0.0,0.0,0.0,1.969712853
MMP2,75029.16871,41699.41529,41387.71008,22404.15368,82917.70953,48583.09568,43913.70008,20119.8826,85615.37452,41542.59616,49609.454,27649.84418
MT3,1.043376008,0.960417691,0.910000002,0.0,2.921386377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPCAT2,1506.634955,825.959214,728.9100014,511.3517122,1624.290825,968.1756413,1590.11301,557.0449177,1938.023762,1068.839206,2070.385421,1035.084104
GNAO1,71.99294452,54.74380837,124.6700002,70.37767468,48.68977294,51.45401998,70.24976882,71.44256379,36.44147245,37.9020995,20.48818906,24.62141066
OGFOD1,1656.8811,1833.437371,1616.160003,2665.443072,1736.277303,2166.31925,2124.580846,2848.383956,2582.927396,3053.961668,2534.065489,2307.518607
SH3BP2,589.5074443,657.8861181,771.6800015,780.390418,623.2290937,767.6099716,791.733881,792.0805986,1056.802701,1036.622421,549.9461274,672.6569394
